"week","stringency_index","reproduction_rate","temp","humidity","precip","windspeed","new_cases","new_deaths","icu_patients","hosp_patients","case_fatality"
"2022-05-16",15.67,0.00153135165888367,16.1428571428571,77.4857142857143,2.61728571428571,23.3571428571429,7751,13,202,3197,0.00167720294155593
"2022-05-23",15.67,0.00213220082837319,13.7142857142857,74.8571428571429,2.36814285714286,32.7857142857143,6663,15,193.5,2580.5,0.00225123818099955
"2022-05-30",15.67,0.00085867936370619,13.7428571428571,73.5714285714286,3.30871428571429,22.2714285714286,9280,8,153.75,2195.25,0.000862068965517241
"2022-06-06",15.67,0.000384668135803278,15.8714285714286,76.9,2.09614285714286,27.9,17332,6,152.75,2451.25,0.000346180475421186
"2022-06-13",15.67,0.00034282614292225,17.4714285714286,66.0285714285714,0.233714285714286,21.4,34600,11,175,3042,0.000317919075144509
"2022-06-20",15.67,0.000279576802717119,17.9714285714286,73.8142857142857,3.88571428571429,20.9857142857143,48589,11,184,4034,0.000226388688797876
"2022-06-27",15.6657142857143,0.000571546414595535,17.7571428571429,71.8142857142857,2.23257142857143,23.5571428571429,57353,27,268,4932,0.000470768747929489
"2022-07-04",15.66,0.000475114167145888,16.8285714285714,72.6428571428571,0.0448571428571429,26.7428571428571,62957,24,275,5787,0.000381212573661388
"2022-07-11",15.66,0.000350915302790594,18.4285714285714,69.9285714285714,0.0958571428571428,19.0285714285714,62752,18,320,6878,0.000286843447220806
"2022-07-18",15.66,0.000841566528686247,21.4,64.9285714285714,1.13771428571429,20.1,46277,34,304,7552,0.000734706225554811
"2022-07-25",15.66,0.00108859003858645,18.2285714285714,71.9857142857143,1.77042857142857,23.8857142857143,35998,36,301,6776,0.00100005555864215
"2022-08-01",15.66,0.000812662647287204,18.9857142857143,70.6,0.0367142857142857,20.8714285714286,25819,19,291,5805,0.000735892172431155
"2022-08-08",15.66,0.00149500487192193,22.0714285714286,62.5714285714286,0,18.8,18715,31,288,4797,0.00165642532727758
"2022-08-15",15.66,0.00349030030502208,20.0285714285714,80.1714285714286,5.314,18.8,15938,32,299,4353,0.00200778014807379
"2022-08-22",15.66,0.00165857329683945,20.1857142857143,73.6285714285714,0.0264285714285714,18.6571428571429,12041,20,244,3687,0.00166099161199236
"2022-08-29",15.66,0.000840172764050916,18.9714285714286,62.9142857142857,0.288857142857143,21.4285714285714,11451,11,211,3130,0.000960614793467819
"2022-09-05",15.66,0.000532289893862035,18.5285714285714,80.1571428571429,5.44385714285714,21.4714285714286,20036,8,204,2894,0.000399281293671391
"2022-09-12",14.36,0.00043146944884508,15.1714285714286,77.5428571428571,6.15628571428571,24.9714285714286,30210,13,206,2970,0.000430321085733201
"2022-09-19",11.11,0.000312788660614748,12.8,80.0142857142857,2.363,17.4285714285714,36101.25,11,197,3307,0.000304698590769018
"2022-09-26",11.11,0.000241941118823856,11.8,83.4,6.88842857142857,22.5571428571429,55829.5,13,261,4557,0.000232851807736054
"2022-10-03",11.11,0.00053412363406859,13.2571428571429,78.7,0.325571428571429,26.8714285714286,77740,42,280,6371,0.000540262413172112
"2022-10-10",11.11,0.00036415760912427,11.9,86.3142857142857,1.96228571428571,21.1428571428571,80720.5,29,307,7677,0.000359264375220669
"2022-10-17",11.11,0.000800594878149413,13.3571428571429,88.7571428571429,1.04342857142857,21.2857142857143,65489.75,50,392,8014,0.000763478254230624
"2022-10-24",11.11,0.000773779689703249,15.2857142857143,85.8857142857143,1.63085714285714,24.3857142857143,56476.25,41,382,7396,0.000725968880724198
"2022-10-31",11.11,0.00110504710677755,11.6857142857143,83.8,2.51657142857143,29.4428571428571,33639,36,288,6355,0.0010701863907964
"2022-11-07",11.11,0.00106831621211141,11.1714285714286,86.2857142857143,3.34928571428571,26.8428571428571,23442,25,262,5174,0.00106646190598072
"2022-11-14",11.11,0.00110163403659133,6.55714285714286,88.9285714285714,3.82257142857143,26.1142857142857,19641.25,22,228,4506,0.00112009164386177
"2022-11-21",11.11,0.000831161689340288,7.35714285714286,91.1,2.96442857142857,26,18090.75,15,228,4178,0.000829153020189876
"2022-11-28",11.11,0.000246913580246914,7.43333333333333,96.5,3.40066666666667,12.2333333333333,8036.75,2,97,1821,0.000248856814010639
